,enriched_smiles,name
81,[Be]=[C]1N(C)C=CN1C,ligand100-0
82,[Li]<-N12CCCCC1C1CC(C2)C2CCCCN2C1,ligand561-0
83,[Be]=[C]1N(c2ccccc2)C=CN1C(C)C,ligand567-0
84,[Be]=[C]1N(C)C(C)=C(C)N1C,ligand132-0
85,[Li]<-n1ccccn1,ligand578-0
86,[Be]=[C]1Nc2ccccc2N1,ligand515-0
87,[Li]<-n1ccc(N(C)C)cc1,ligand588-0
88,[Be]=[C]1N(C)c2cccc3cccc(c23)N1Cc1ccccc1,ligand594-0
89,[Li]<-NCCc1ccccc1,ligand605-0
90,[Li]<-[As](C=C)(C1CCCCC1)C1CCCCC1,ligand621-0
91,[Li]<-S=C(NN=C(C)c1cccc[n+]1[O-])N(C)C,ligand626-0
92,[Be]=[C]1N(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)CCN1c1cc(C(C)(C)C)cc(C(C)(C)C)c1,ligand636-0
93,[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,ligand637-0
94,[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,ligand637-0
95,[Be]=[C](NN)NC(C)(C)C,ligand649-0
96,[Li]<-S=c1[nH]ccn1-c1ccccc1,ligand652-0
97,[Li]<-P1=Cc2ccccc2C1=P(c1ccccc1)(c1ccccc1)c1ccccc1,ligand656-0
98,[Li]<-P(CCOC)(c1ccccc1)c1ccccc1,ligand660-0
99,[Li]<-NC(C)c1ccccc1,ligand605-0
100,[Be]=[C]1N(c2c(C)cc(C)cc2C)CCCCN1c1c(C)cc(C)cc1C,ligand675-0
101,[Li]<-n1nnn(N)c1N,ligand677-0
102,[Be]=[C]1SC=CN1C,ligand678-0
103,[Be]=[C]1N(Cc2cccc3cccnc23)C=CN1C(C)(C)C,ligand680-0
104,[Be]=[C]1N(CCCC)c2ccccc2N1Cc1ccc([N+](=O)[O-])cc1,ligand688-0
105,[Li]<-NCCCC,ligand709-0
106,[Li]<-P(c1ccc(C2OCCCO2)cc1)(C(C)C)C(C)C,ligand713-0
107,[Li]<-S=CC=C(SCC)SCC,ligand716-0
108,[Li]<-O=Cc1c(C)cc(C)cc1C,ligand718-0
109,[Li]<-P(F)(F)N(CCCl)CCCl,ligand729-0
110,[Li]<-n1cnn(C)c1,ligand739-0
111,[Li]<-n1[nH]pc(C)c1CC,ligand741-0
112,[Li]<-S(c1ccccc1)c1ccccc1,ligand744-0
113,[Li]<-N#Cc1ccc(C)cc1,ligand518-0
114,[Be]=[C]1N(CCNC(=O)c2ccccc2)C=CN1c1c(C)cc(C)cc1C,ligand749-0
115,[Li]<-P(c1ccccc1)(c1ccccc1)C(CC(=O)OC)c1ccccc1,ligand764-0
116,[Li]<-P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand777-0
117,[Li]<-P(N=C(c1ccccc1)N(C(C)C)C(C)C)(C(C)C)C(C)C,ligand779-0
118,[Li]<-[O-][S+](C)C,ligand133-0
119,[Li]<-N1CC1(C)C,ligand790-0
120,[Li]<-n1cccc2ccc3cccnc3c21,ligand797-0
121,[Li]<-n1cc[nH]c1CC,ligand100-0
122,[Li]<-P(C1CCCCC1)C1CCCCC1,ligand826-0
123,[Li]<-s1c2ccccc2c2ccccc21,ligand833-0
124,[Be]=[C]1N(C23CC4CC(CC(C4)C2)C3)C=CN1C12CC3CC(CC(C3)C1)C2,ligand834-0
125,[Be]=[C]1N(c2c(C)cccc2C)C=CN1c1c(C)cccc1C,ligand835-0
126,[Li]<-N1=C(C)OCC1,ligand836-0
127,[Li]<-N(=C(C)Nc1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,ligand849-0
128,[Li]<-n1ccc(C(C)(C)C)cc1,ligand866-0
129,[Li]<-n1cc[nH]c1,ligand62-0
130,[Li]<-n1c(-c2cccc(OC)n2)n(Cc2cccc(OC)n2)c2ccccc21,ligand871-0
131,[Be]=[C]1N(C)C=CN1c1ccc2ccccc2n1,ligand877-0
132,[Li]<-PC1CCCCC1,ligand891-0
133,[Li]<-n1ccccc1N=Nc1ccccc1,ligand897-0
134,[Li]<-N(C(CC)CC)C(CC)CC,ligand899-0
135,[Be]=[C]1N(Cc2cccc(-c3ccccn3)n2)C=CN1c1c(C)cc(C)cc1C,ligand914-0
136,[Li]<-N(=C(c1ccccc1)c1ccccc1)c1ccc(C)cc1,ligand917-0
137,[Li]<-O=CN(C)C,ligand204-0
138,[Li]<-S=C(N)NN=C(C)C,ligand943-0
139,[Be]=[C]1NCCN1c1ccc(C)cc1,ligand257-0
140,[Li]<-n1c(C)c(C(=O)c2ccccc2)c(O)n1-c1ccccc1,ligand952-0
141,[Be]=[C]1N(C)C(Cl)=C(Cl)N1Cc1ccc(C#N)cc1,ligand959-0
142,[Be]=[C]1C=CC=C(C)N1,ligand177-0
143,[Li]<-n1ccc(C=Cc2ccccc2C#N)cc1,ligand979-0
144,[Li]<-P(CNc1cccc2ccccc12)(CNc1cccc2ccccc12)CNc1cccc2ccccc12,ligand988-0
145,[Li]<-[As](C)(C)Cc1ccccc1,ligand993-0
146,[Li]<-n1c(N)cc[nH]c1=O,ligand995-0
147,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC12CCCCC2,ligand1003-0
148,[Li]<-N(CC)(CC)CCN=Cc1ccccn1,ligand1006-0
149,[Li]<-N=Cc1ccccc1,ligand1008-0
150,[Li]<-P(OC)(OC)c1ccccc1,ligand1010-0
151,[Li]<-S1CCCC1,ligand1012-0
152,[Be]=[C]1N(C)c2ccccc2N1C(F)F,ligand1014-0
153,[Li]<-P(CCC#N)(CCC#N)CCC#N,ligand1016-0
