tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand173-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])[C@]([H])(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C(=O)OC([H])([H])[H])C([H])=C1[H],"[[1], [34]]",COC(=O)CC1CCP(->[Ir]<-P1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
ligand180-0,[H]C1=C([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2CN(C([H])([H])[H])C([H])=C2[H])CN1C([H])([H])[H],"[[0], [36]]",CN1C=CN2CCCCCCCCN3C=CN(C)[C]3=[Be]->[Ir]<-[Be]=[C]12
ligand182-0,[H]c1nn(C([H])([H])C([H])([H])N([H])[H])c(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1[H],"[[0], [14]]",Cc1cc(C)c(-c2ccn3->[Ir]<-NCCn23)c(C)c1
ligand185-0,[H]C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])[H],"[[0], [9]]",CO1CCO(C)->[Ir]<-1
ligand190-0,[H]/C(=N\C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1nc([H])c([H])c([H])c1[H],"[[0], [10]]",CCCCN1=Cc2ccccn2->[Ir]<-1
ligand192-0,[H]/C(=C(/[O-])c1nc([H])c([H])c([H])c1[H])[n+]1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],"[[0], [6]]",Cc1cc[n+](C=C2[O-]->[Ir]<-n3ccccc32)cc1
ligand201-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [22]]",c1ccc(P2(CCCP(->[Ir]<-2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1
ligand202-0,[H]c1nc(C([H])([H])N([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2-c2c(N([H])C([H])([H])c3nc([H])c([H])c([H])c3[H])c([H])c([H])c([H])c2C([H])([H])[H])c([H])c([H])c1[H],"[[13], [47]]",Cc1cccc2NCc3ccccn3->[Ir]<-n3ccccc3CNc3cccc(C)c3-c12
ligand207-0,[H]N1C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],"[[4], [7]]",C1CN2->[Ir]<-N(CCN1)CC2
ligand221-0,[H]c1c([H])c([H])c2nc3sc(=S)c(=S)sc3nc2c1[H],"[[1], [5]]",c1ccc2nc3sc4=S->[Ir]<-S=c4sc3nc2c1
