tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand206-0,[H]C1=C([H])C(C([H])(C([H])([H])[H])C([H])([H])[H])=C(N2CN(C3=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C3C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])C(C([H])(C([H])([H])[H])C([H])([H])[H])=C1[H],[[3]],[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1c1c(C(C)C)cccc1C(C)C
ligand208-0,[H]C1=NN(C([H])(C([H])([H])[H])C([H])([H])[H])CN1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],[[15]],[Be]=[C]1N(Cc2ccccc2)C=NN1C(C)C
ligand215-0,[H]N(CC([H])([H])[H])P(N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])N(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],[[7]],[Be]=[C](C)NP(N(C(C)C)C(C)C)N(C(C)C)C(C)C
ligand222-0,[H]c1c([H])c([H])c(C([H])([H])[H])c(N([H])[H])c1[H],[[0]],[Li]<-Nc1ccccc1C
ligand223-0,[H]C1=NC([H])=C(P(C2=C([H])C([H])=C([H])N=C2[H])C2=C([H])C([H])=C([H])N=C2[H])C([H])=C1[H],[[0]],[Li]<-P(c1cccnc1)(c1cccnc1)c1cccnc1
ligand227-0,[H]C1=C([H])C2=C([H])C3=C(C([H])=C([H])C([H])=C3[H])C(CN3CN(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C3[H])=C2C([H])=C1[H],[[0]],[Be]=[C]1N([C]c2c3ccccc3cc3ccccc23)C=CN1CCCC
ligand239-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])/C([H])=C([H])\C3=C\2OC2=C(C([H])=C([H])C([H])=C2[H])C3(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],[[0]],[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc2c1Oc1ccccc1C2(C)C
ligand244-0,[H]C1=C([H])C([H])=C(C([H])([H])[H])C(P(C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])[H])C2=C(C([H])([H])[H])C([H])=C([H])C([H])=C2[H])=C1[H],[[0]],[Li]<-P(c1ccccc1C)(c1ccccc1C)c1ccccc1C
ligand250-0,[H]C([H])([H])C([H])(P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],[[0]],[Li]<-P(C(C)C)(C(C)C)C(C)C
ligand257-0,[H]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c1nc([H])n2C([H])([H])[H],[[0]],[Li]<-n1cn(C)c2cc(C)c(C)cc21
ligand293-0,[H]C1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(N2CN(C3=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])=C3C([H])([H])[H])C(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C2[H])=C1C([H])([H])[H],[[9]],[Be]=[C]1N(c2c(C)cc(C)cc2C)C=C(OC(=O)C(C)(C)C)N1c1c(C)cc(C)cc1C
ligand296-0,[H]C([H])([H])C(P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[[0]],[Li]<-P(C(C)(C)C)(C(C)(C)C)C(C)(C)C
ligand307-0,[H]c1nc(C(=O)N([H])[H])c([H])c([H])c1[H],[[6]],[Li]<-n1ccccc1C(N)=O
ligand318-0,[H]/C(C(=S)c1c([H])c([H])c([H])c([H])c1[H])=C(\OC([H])([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],[[0]],[Li]<-S=C(C=C(OCC)c1ccccc1)c1ccccc1
ligand326-0,[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],[[0]],[Li]<-O1CCCC1
ligand330-0,[H]c1c([H])n(C([H])([H])C([H])([H])[H])c(=S)n1C([H])([H])C([H])([H])[H],[[0]],[Li]<-S=c1n(CC)ccn1CC
ligand357-0,[H]C1=C([H])C2=C(C([H])=C1[H])N(C([H])([H])OC([H])([H])[H])CN2[H],[[10]],[Be]=[C]1Nc2ccccc2N1COC
ligand361-0,[H]c1nc([H])n(C([H])([H])[H])c1[H],[[0]],[Li]<-n1ccn(C)c1
ligand363-0,[H]C1=C([H])C([H])=C2C(=N1)N1CN(C3=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C3C([H])(C([H])([H])[H])C([H])([H])[H])/C([H])=C\1C([H])=C2[H],[[20]],[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=C2C=Cc3cccnc3N12
ligand376-0,[H]C(=S)c1c([H])c([H])c(Cl)c([H])c1[H],[[12]],[Li]<-S=Cc1ccc(Cl)cc1
ligand377-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])N([H])C2=C([H])C([H])=C(F)C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-P(Nc1ccc(F)cc1)(c1ccccc1)c1ccccc1
ligand383-0,[H]C1=C([H])N(C([H])(C([H])([H])[H])C([H])([H])[H])CN1C([H])(C([H])([H])[H])C([H])([H])[H],[[1]],[Be]=[C]1N(C(C)C)C=CN1C(C)C
