,enriched_smiles,name
61,CC(C)c1cccc(C(C)C)c1N(->[Ir])=CC1(C=N(->[Ir])c2c(C(C)C)cccc2C(C)C)CCCC1,ligand388-0
62,CP(C)(->[Ir])CCP(C)(C)->[Ir],ligand391-0
63,Cc1cc(C)cc(N(->[Ir])=Cc2cccn2P(->[Ir])(N(C(C)C)C(C)C)N(C(C)C)C(C)C)c1,ligand397-0
64,[Ir]<-n1c(-c2ccccc2-c2[nH]c3ccccc3n2->[Ir])[nH]c2ccccc21,ligand400-0
65,COc1ccc(C=N(->[Ir])CCN(->[Ir])=Cc2ccc(OC)cc2)cc1,ligand401-0
66,CC(=N->[Ir])n1c(C)cc(C)n1->[Ir],ligand425-0
67,CN(C)(->[Ir])CCN(C)(C)->[Ir],ligand430-0
68,CC(C)P(->[Ir])(CCNCCP(->[Ir])(C(C)C)C(C)C)C(C)C,ligand432-0
69,CC(C)(C)P(->[Ir])(Cc1cccc(CP(->[Ir])(C(C)(C)C)C(C)(C)C)n1)C(C)(C)C,ligand439-0
70,[Ir]<-P(Nc1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand455-0
71,CC(C)C1COC(c2ccccc2P(->[Ir])(c2ccccc2)c2ccccc2)=N1->[Ir],ligand460-0
72,CN(->[Ir])CCN(C)(C)->[Ir],ligand461-0
73,Cc1[nH]cn(->[Ir])c1CSCc1c(C)[nH]cn1->[Ir],ligand463-0
74,CCN(->[Ir])(CC)CCN(->[Ir])=C(N(C)C)N(C)C,ligand490-0
75,[Ir]<-P(CN(CP(->[Ir])(c1ccccc1)c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,ligand502-0
76,[Ir]<-n1ccccc1-c1cc(-c2ccc(C=Cc3ccc(-n4ccnc4)cc3)cc2)cc(-c2ccccn2->[Ir])n1,ligand511-0
77,COC(=O)C(CO)N(->[Ir])=Cc1ccccn1->[Ir],ligand531-0
78,[Ir]<-N1CCN(->[Ir])CC1,ligand539-0
79,Clc1ccc2c(c1)c(-c1ccccc1)nc(-c1ccccn1->[Ir])n2->[Ir],ligand542-0
80,CC(C)N1Cc2cccc(n2->[Ir])CN(C(C)C)Cc2cccc(n2->[Ir])C1,ligand549-0
81,[Ir]<-N1CCOCCOCCN(->[Ir])CCOCCOCC1,ligand563-0
82,Cc1ccc(N2CP(->[Ir])(c3ccccn3)CN(c3ccc(C)cc3)CP(->[Ir])(c3ccccn3)C2)cc1,ligand572-0
83,CC(CC(C)N(C)->[Ir])N(C)->[Ir],ligand577-0
84,CC(C)P(->[Ir])(C1=C(N(C)(C)->[Ir])Cc2ccccc21)C(C)C,ligand585-0
85,CCC(=O->[Ir])C1CC2C(C)=C(C)C1P2(->[Ir])c1ccccc1,ligand592-0
86,CC(C)(C)c1ccn(->[Ir])c(-c2cc(C(C)(C)C)ccn2->[Ir])c1,ligand596-0
87,FC(F)(P(->[Ir])(c1ccccc1)c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand601-0
88,CC(C)N1CCN(->[Ir])(C(C)C)CCN(->[Ir])(C(C)C)CC1,ligand604-0
89,[Ir]<-n1cccn1Cn1cccn1->[Ir],ligand606-0
90,Cc1ccc(O)c(C=N(->[Ir])CCN(C)->[Ir])c1,ligand624-0
91,[Ir]<-N=C(N1CCOCC1)N1CCCC1CN1(->[Ir])CCCC1,ligand630-0
92,Brc1c(Br)c2cccn(->[Ir])c2c2c1cccn2->[Ir],ligand632-0
93,CC(c1ccccc1)N(->[Ir])=Cc1ccccn1->[Ir],ligand650-0
94,Brc1ccc(-c2ccc(Br)cn2->[Ir])n(->[Ir])c1,ligand668-0
95,[Ir]<-P(c1ccccc1)(c1ccccc1)c1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1,ligand669-0
96,O=C(O)CN(->[Ir])=C(O)CN->[Ir],ligand684-0
97,Clc1ccc(OCC(=O->[Ir])N2CCCC2)c2c1cccn2->[Ir],ligand687-0
98,CC(=N(O)->[Ir])C(C)(C)N->[Ir],ligand691-0
99,CC(C)(C)S(->[Ir])Cc1ccccn1->[Ir],ligand699-0
100,Clc1ccn(->[Ir])c2c1ccc1c(Cl)ccn(->[Ir])c12,ligand703-0
101,[Ir]<-O=C(c1ccccc1)c1ccccn1->[Ir],ligand708-0
102,[Ir]<-n1ccccc1CN1CCN2CCN(Cc3ccccn3)P1(->[Ir])N(Cc1ccccn1)CC2,ligand715-0
103,[Be]=[C]1N(CCCC)C=CN1c1ccccn1->[Ir],ligand720-0
104,[Ir]<-S=C1SC(=C2SC3=C(SCCS3)S2)SC1=S->[Ir],ligand723-1
105,[Be]=[C]1N(CCCC)C=CN1CN1C=CN(CCCC)[C]1=[Be],ligand724-0
106,CN1CCN(C)C1=N(->[Ir])c1cccc2cccn(->[Ir])c12,ligand731-0
107,CC(C)c1cccc(C(C)C)c1N(->[Ir])=C(Nc1ccccn1->[Ir])c1ccccc1,ligand734-0
108,CC(CP(->[Ir])(c1ccccc1)c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand745-0
109,Cc1cccc(N(P(->[Ir])(c2ccccc2)c2ccccc2)P(->[Ir])(c2ccccc2)c2ccccc2)c1C,ligand748-0
110,[Be]=[C]1N(C(C)C)C=CN1C(CC)c1ccccc1C(CC)N1C=CN(C(C)C)[C]1=[Be],ligand750-0
